Name,Locality,Popularity,Price,Rating,Bike_Station_Coordinates,bikes,Place_Type
The River Oyster Bar,Miami,0.973035058,3.0,9.0,"25.767414,-80.199166",4,Restaurant
Jamon Iberico Pata Negra,Miami,0.978618886,2.0,9.0,"25.767414,-80.199166",4,Restaurant
North Italia,Miami,0.978901612,3.0,8.6,"25.767414,-80.199166",4,Restaurant
Toscana Divino,Miami,0.969854396,3.0,8.5,"25.767414,-80.199166",4,Restaurant
B Bistro + Bakery,Miami,0.977965083,1.0,8.9,"25.767414,-80.199166",4,Bakery
Cafe La Trova,Miami,0.977240599,2.0,8.8,"25.765769,-80.211373",6,Bar
Doce Provisions,Miami,0.979537744,2.0,9.3,"25.765769,-80.211373",6,Bar
Fonda La Chismosa,Miami,0.9488797,2.0,7.7,"25.765769,-80.211373",6,Restaurant
San Pocho,Miami,0.967910659,1.0,7.9,"25.765769,-80.211373",6,Restaurant
Pollo Operations,Miami,0.995264348,1.0,8.3,"25.765769,-80.211373",6,Restaurant
Azucar Ice Cream Company,Miami,0.961726039,1.0,9.0,"25.765769,-80.211373",6,Restaurant
Old's Havana Cuban Bar & Cocina,Miami,0.984043681,2.0,8.8,"25.765769,-80.211373",6,Bar
Los Pinarenos Fruteria,Miami,0.943066158,2.0,8.0,"25.765769,-80.211373",6,Restaurant
Arahis Bakery & Restaurant,Miami,0.976056686,1.0,7.9,"25.765769,-80.211373",6,Bakery
Yambo Restaurant,Miami,0.98241801,1.0,7.8,"25.779881,-80.218424",3,Restaurant
El Palacio De Los Jugos,Miami,0.931014984,2.0,7.0,"25.779881,-80.218424",3,Restaurant
Wendy's,Miami,0.992278061,1.0,6.0,"25.779881,-80.218424",3,Restaurant
Stanzione 87,Miami,0.956442607,2.0,8.8,"25.767497,-80.195732",6,Restaurant
Casa Tua Cucina,Miami,0.993408962,2.0,9.0,"25.767497,-80.195732",6,Bar
Blackbird Ordinary,Miami,0.989503817,2.0,8.6,"25.767497,-80.195732",6,Bar
Sugar,Miami,0.996465932,2.0,9.1,"25.767497,-80.195732",6,Bar
La Sandwicherie,Miami,0.991376873,1.0,8.6,"25.767497,-80.195732",6,Restaurant
The River Oyster Bar,Miami,0.973035058,3.0,9.0,"25.767497,-80.195732",6,Restaurant
B Bistro + Bakery,Miami,0.977965083,1.0,8.9,"25.767497,-80.195732",6,Bakery
North Italia,Miami,0.978901612,3.0,8.6,"25.767497,-80.195732",6,Restaurant
Toscana Divino,Miami,0.969854396,3.0,8.5,"25.767497,-80.195732",6,Restaurant
Truluck's,Miami,0.986729573,4.0,8.9,"25.767497,-80.195732",6,Restaurant
Gyu-Kaku Japanese BBQ,Miami,0.983937659,2.0,8.9,"25.76258,-80.193948",0,Restaurant
Baires Grill Brickell,Miami,0.977841391,4.0,8.6,"25.76258,-80.193948",0,Restaurant
Piola Miami Brickell,Miami,0.982594713,2.0,8.3,"25.76258,-80.193948",0,Restaurant
Freddo,Miami,0.949197766,1.0,8.3,"25.76258,-80.193948",0,Café
North Italia,Miami,0.978901612,3.0,8.6,"25.76258,-80.193948",0,Restaurant
Barsecco,Miami,0.979643766,2.0,8.6,"25.76258,-80.193948",0,Restaurant
Batch Gastropub: Miami,Miami,0.986605881,2.0,8.0,"25.76258,-80.193948",0,Bar
My Ceviche,Miami,0.943949675,2.0,8.3,"25.76258,-80.193948",0,Restaurant
Komodo (Miami),Miami,0.984662143,4.0,8.8,"25.76589,-80.191042",0,Restaurant
Truluck's,Miami,0.986729573,4.0,8.9,"25.76589,-80.191042",0,Restaurant
Sugar,Miami,0.996465932,2.0,9.1,"25.76589,-80.191042",0,Bar
B Bistro + Bakery,Miami,0.977965083,1.0,8.9,"25.76589,-80.191042",0,Bakery
The River Oyster Bar,Miami,0.973035058,3.0,9.0,"25.76589,-80.191042",0,Restaurant
Casa Tua Cucina,Miami,0.993408962,2.0,9.0,"25.76589,-80.191042",0,Bar
North Italia,Miami,0.978901612,3.0,8.6,"25.76589,-80.191042",0,Restaurant
La Sandwicherie,Miami,0.991376873,1.0,8.6,"25.76589,-80.191042",0,Restaurant
Toscana Divino,Miami,0.969854396,3.0,8.5,"25.76589,-80.191042",0,Restaurant
The Capital Grille,Miami,0.965136415,3.0,9.0,"25.771428,-80.190815",2,Restaurant
Zuma Miami,Miami,0.972699321,4.0,9.1,"25.771428,-80.190815",2,Restaurant
Area 31,Miami,0.968264066,3.0,8.3,"25.771428,-80.190815",2,Restaurant
Cafe Bastille,Miami,0.969377297,2.0,8.6,"25.771428,-80.190815",2,Café
Novikov,Miami,0.981181086,2.0,8.8,"25.771428,-80.190815",2,Restaurant
Cipriani Miami Downtow,Miami,0.98604043,4.0,8.7,"25.771428,-80.190815",2,Restaurant
Vero Italian,Miami,0.933241448,4.0,8.3,"25.771428,-80.190815",2,Restaurant
The River Oyster Bar,Miami,0.973035058,3.0,9.0,"25.771428,-80.190815",2,Restaurant
B Bistro + Bakery,Miami,0.977965083,1.0,8.9,"25.771428,-80.190815",2,Bakery
Cvi.Che 105,Miami,0.979555414,2.0,9.1,"25.771428,-80.190815",2,Restaurant
Zuma Miami,Miami,0.972699321,4.0,9.1,"25.7717329,-80.1899646",3,Restaurant
The Capital Grille,Miami,0.965136415,3.0,9.0,"25.7717329,-80.1899646",3,Restaurant
Cafe Bastille,Miami,0.969377297,2.0,8.6,"25.7717329,-80.1899646",3,Café
Novikov,Miami,0.981181086,2.0,8.8,"25.7717329,-80.1899646",3,Restaurant
Area 31,Miami,0.968264066,3.0,8.3,"25.7717329,-80.1899646",3,Restaurant
Cipriani Miami Downtow,Miami,0.98604043,4.0,8.7,"25.7717329,-80.1899646",3,Restaurant
Cvi.Che 105,Miami,0.979555414,2.0,9.1,"25.7717329,-80.1899646",3,Restaurant
Il Gabbiano,Miami,0.972133871,4.0,9.3,"25.7717329,-80.1899646",3,Restaurant
La Granja,Miami,0.987736783,1.0,8.0,"25.7717329,-80.1899646",3,Restaurant
Vero Italian,Miami,0.933241448,4.0,8.3,"25.7717329,-80.1899646",3,Restaurant
Vero Italian,Miami,0.933241448,4.0,8.3,"25.7725576,-80.1921467",0,Restaurant
The Capital Grille,Miami,0.965136415,3.0,9.0,"25.7725576,-80.1921467",0,Restaurant
Zuma Miami,Miami,0.972699321,4.0,9.1,"25.7725576,-80.1921467",0,Restaurant
Cafe Bastille,Miami,0.969377297,2.0,8.6,"25.7725576,-80.1921467",0,Café
Cvi.Che 105,Miami,0.979555414,2.0,9.1,"25.7725576,-80.1921467",0,Restaurant
The River Oyster Bar,Miami,0.973035058,3.0,9.0,"25.7725576,-80.1921467",0,Restaurant
Novikov,Miami,0.981181086,2.0,8.8,"25.7725576,-80.1921467",0,Restaurant
La Granja,Miami,0.987736783,1.0,8.0,"25.7725576,-80.1921467",0,Restaurant
Area 31,Miami,0.968264066,3.0,8.3,"25.7725576,-80.1921467",0,Restaurant
Cafe Bastille,Miami,0.969377297,2.0,8.6,"25.77369,-80.18896",4,Café
Cvi.Che 105,Miami,0.979555414,2.0,9.1,"25.77369,-80.18896",4,Restaurant
Pollos Y Jarras,Miami,0.962220809,2.0,8.5,"25.77369,-80.18896",4,Restaurant
Novikov,Miami,0.981181086,2.0,8.8,"25.77369,-80.18896",4,Restaurant
Il Gabbiano,Miami,0.972133871,4.0,9.3,"25.77369,-80.18896",4,Restaurant
Zuma Miami,Miami,0.972699321,4.0,9.1,"25.77369,-80.18896",4,Restaurant
The Capital Grille,Miami,0.965136415,3.0,9.0,"25.77369,-80.18896",4,Restaurant
La Granja,Miami,0.987736783,1.0,8.0,"25.77369,-80.18896",4,Restaurant
Vero Italian,Miami,0.933241448,4.0,8.3,"25.77369,-80.18896",4,Restaurant
Starbucks,Miami,0.981481481,2.0,7.8,"25.77369,-80.18896",4,Café
Vero Italian,Miami,0.933241448,4.0,8.3,"25.7733724,-80.1920071",0,Restaurant
Cafe Bastille,Miami,0.969377297,2.0,8.6,"25.7733724,-80.1920071",0,Café
Cvi.Che 105,Miami,0.979555414,2.0,9.1,"25.7733724,-80.1920071",0,Restaurant
The Capital Grille,Miami,0.965136415,3.0,9.0,"25.7733724,-80.1920071",0,Restaurant
Zuma Miami,Miami,0.972699321,4.0,9.1,"25.7733724,-80.1920071",0,Restaurant
La Granja,Miami,0.987736783,1.0,8.0,"25.7733724,-80.1920071",0,Restaurant
Soya E Pomodoro,Miami,0.954392847,3.0,8.0,"25.7733724,-80.1920071",0,Restaurant
Pollos Y Jarras,Miami,0.962220809,2.0,8.5,"25.7733724,-80.1920071",0,Restaurant
Novikov,Miami,0.981181086,2.0,8.8,"25.7733724,-80.1920071",0,Restaurant
All Day,Miami,0.969607012,1.0,9.1,"25.7870287,-80.1939982",3,Café
Bunbury,Miami,0.990016257,2.0,8.4,"25.7870287,-80.1939982",3,Bar
The Corner,Miami,0.975084818,2.0,8.8,"25.7870287,-80.1939982",3,Bar
Vice City Bean,Miami,0.985474979,1.0,9.2,"25.7870287,-80.1939982",3,Café
Mignonette,Miami,0.947483743,3.0,8.8,"25.7870287,-80.1939982",3,Restaurant
Verde,Miami,0.976586797,3.0,8.7,"25.7870287,-80.1939982",3,Restaurant
Kush,Miami,0.989556828,2.0,9.1,"25.7870287,-80.1939982",3,Restaurant
Pizza Pazza,Miami,0.953756715,2.0,8.6,"25.7870287,-80.1939982",3,Restaurant
Aroma Espresso Bar,Miami,0.965807888,1.0,7.5,"25.7870287,-80.1939982",3,Café
Bunbury,Miami,0.990016257,2.0,8.4,"25.7883347,-80.1932528",7,Bar
Vice City Bean,Miami,0.985474979,1.0,9.2,"25.7883347,-80.1932528",7,Café
All Day,Miami,0.969607012,1.0,9.1,"25.7883347,-80.1932528",7,Café
The Corner,Miami,0.975084818,2.0,8.8,"25.7883347,-80.1932528",7,Bar
Mignonette,Miami,0.947483743,3.0,8.8,"25.7883347,-80.1932528",7,Restaurant
Kush,Miami,0.989556828,2.0,9.1,"25.7883347,-80.1932528",7,Restaurant
Verde,Miami,0.976586797,3.0,8.7,"25.7883347,-80.1932528",7,Restaurant
Pizza Pazza,Miami,0.953756715,2.0,8.6,"25.7883347,-80.1932528",7,Restaurant
The Daily Creative Food Co,Miami,0.980686316,2.0,8.8,"25.7883347,-80.1932528",7,Restaurant
Aroma Espresso Bar,Miami,0.965807888,1.0,7.5,"25.7883347,-80.1932528",7,Café
Mignonette,Miami,0.947483743,3.0,8.8,"25.789722,-80.188952",6,Restaurant
Vice City Bean,Miami,0.985474979,1.0,9.2,"25.789722,-80.188952",6,Café
Verde,Miami,0.976586797,3.0,8.7,"25.789722,-80.188952",6,Restaurant
Pizza Pazza,Miami,0.953756715,2.0,8.6,"25.789722,-80.188952",6,Restaurant
Bunbury,Miami,0.990016257,2.0,8.4,"25.789722,-80.188952",6,Bar
The Daily Creative Food Co,Miami,0.980686316,2.0,8.8,"25.789722,-80.188952",6,Restaurant
All Day,Miami,0.969607012,1.0,9.1,"25.789722,-80.188952",6,Café
Pura Vida,Miami,0.99072307,1.0,8.1,"25.789722,-80.188952",6,Café
Mike's At Venetia,Miami Beach,0.967168504,1.0,7.9,"25.789722,-80.188952",6,Bar
The Corner,Miami,0.975084818,2.0,8.8,"25.789722,-80.188952",6,Bar
Mike's At Venetia,Miami Beach,0.967168504,1.0,7.9,"25.78974,-80.18622",6,Bar
Verde,Miami,0.976586797,3.0,8.7,"25.78974,-80.18622",6,Restaurant
Mignonette,Miami,0.947483743,3.0,8.8,"25.78974,-80.18622",6,Restaurant
Pura Vida,Miami,0.99072307,1.0,8.1,"25.78974,-80.18622",6,Café
Pizza Pazza,Miami,0.953756715,2.0,8.6,"25.78974,-80.18622",6,Restaurant
The Daily Creative Food Co,Miami,0.980686316,2.0,8.8,"25.78974,-80.18622",6,Restaurant
Vice City Bean,Miami,0.985474979,1.0,9.2,"25.78974,-80.18622",6,Café
All Day,Miami,0.969607012,1.0,9.1,"25.78974,-80.18622",6,Café
Bunbury,Miami,0.990016257,2.0,8.4,"25.78974,-80.18622",6,Bar
The Corner,Miami,0.975084818,2.0,8.8,"25.78974,-80.18622",6,Bar
Pura Vida,Miami,0.99072307,1.0,8.1,"25.79274,-80.18646",5,Café
Pizza Pazza,Miami,0.953756715,2.0,8.6,"25.79274,-80.18646",5,Restaurant
The Daily Creative Food Co,Miami,0.980686316,2.0,8.8,"25.79274,-80.18646",5,Restaurant
Mignonette,Miami,0.947483743,3.0,8.8,"25.79274,-80.18646",5,Restaurant
Mike's At Venetia,Miami Beach,0.967168504,1.0,7.9,"25.79274,-80.18646",5,Bar
Vice City Bean,Miami,0.985474979,1.0,9.2,"25.79274,-80.18646",5,Café
Verde,Miami,0.976586797,3.0,8.7,"25.79274,-80.18646",5,Restaurant
Kush,Miami,0.989556828,2.0,9.1,"25.79274,-80.18646",5,Restaurant
Bunbury,Miami,0.990016257,2.0,8.4,"25.79274,-80.18646",5,Bar
Primo's Italian Restaurant & Lounge,Miami,0.992083687,4.0,7.1,"25.79274,-80.18646",5,Restaurant
The Daily Creative Food Co,Miami,0.980686316,2.0,8.8,"25.794895,-80.188672",2,Restaurant
Pizza Pazza,Miami,0.953756715,2.0,8.6,"25.794895,-80.188672",2,Restaurant
Mignonette,Miami,0.947483743,3.0,8.8,"25.794895,-80.188672",2,Restaurant
Kush,Miami,0.989556828,2.0,9.1,"25.794895,-80.188672",2,Restaurant
Vice City Bean,Miami,0.985474979,1.0,9.2,"25.794895,-80.188672",2,Café
Pura Vida,Miami,0.99072307,1.0,8.1,"25.794895,-80.188672",2,Café
Mister 01,Miami,0.982364999,1.0,8.7,"25.794895,-80.188672",2,Bar
The Salty Donut,Miami,0.982789087,1.0,9.1,"25.794895,-80.188672",2,Café
Midtown Creamery,Miami,0.960612807,1.0,8.6,"25.794895,-80.188672",2,Restaurant
Bunbury,Miami,0.990016257,2.0,8.4,"25.794895,-80.188672",2,Bar
The Salty Donut,Miami,0.982789087,1.0,9.1,"25.7999106,-80.19544",0,Café
Veza Sur Brewing Co,Miami,0.971780464,2.0,9.1,"25.7999106,-80.19544",0,Bar
Mister 01,Miami,0.982364999,1.0,8.7,"25.7999106,-80.19544",0,Bar
Gramps,Miami,0.986694232,2.0,8.9,"25.7999106,-80.19544",0,Bar
Beaker & Gray,Miami,0.970296155,3.0,8.7,"25.7999106,-80.19544",0,Bar
Panther Coffee Wynwood,Miami,0.984467769,1.0,9.0,"25.7999106,-80.19544",0,Café
Coyo Taco,Miami,0.988531948,2.0,8.9,"25.7999106,-80.19544",0,Restaurant
The Dirty Rabbit Wynwood,Miami,0.984414758,2.0,8.4,"25.7999106,-80.19544",0,Restaurant
Kush,Miami,0.989556828,2.0,9.1,"25.7999106,-80.19544",0,Restaurant
Midtown Creamery,Miami,0.960612807,1.0,8.6,"25.801,-80.18888",9,Restaurant
Enriqueta's Sandwich Shop,Miami,0.989291773,1.0,8.8,"25.801,-80.18888",9,Restaurant
The Daily Creative Food Co,Miami,0.980686316,2.0,8.8,"25.801,-80.18888",9,Restaurant
Sabor A Peru,Miami,0.969218264,2.0,8.3,"25.801,-80.18888",9,Restaurant
Veza Sur Brewing Co,Miami,0.971780464,2.0,9.1,"25.801,-80.18888",9,Bar
Mister 01,Miami,0.982364999,1.0,8.7,"25.801,-80.18888",9,Bar
Beaker & Gray,Miami,0.970296155,3.0,8.7,"25.801,-80.18888",9,Bar
The Salty Donut,Miami,0.982789087,1.0,9.1,"25.801,-80.18888",9,Café
Kush,Miami,0.989556828,2.0,9.1,"25.801,-80.18888",9,Restaurant
SUGARCANE raw bar grill,Miami,0.969394967,3.0,8.9,"25.801,-80.18888",9,Restaurant
Sabor A Peru,Miami,0.969218264,2.0,8.3,"25.80533,-80.1891",3,Restaurant
Enriqueta's Sandwich Shop,Miami,0.989291773,1.0,8.8,"25.80533,-80.1891",3,Restaurant
Starbucks,Miami,0.994716568,1.0,7.9,"25.80533,-80.1891",3,Café
Lagniappe,Miami,0.98452078,2.0,9.2,"25.80533,-80.1891",3,Bar
SUGARCANE raw bar grill,Miami,0.969394967,3.0,8.9,"25.80533,-80.1891",3,Restaurant
Midtown Creamery,Miami,0.960612807,1.0,8.6,"25.80533,-80.1891",3,Restaurant
Salumeria 104,Miami,0.978124116,3.0,9.0,"25.80533,-80.1891",3,Restaurant
Pasion Del Cielo Coffee,Miami,0.981110404,1.0,8.4,"25.80533,-80.1891",3,Café
Amara At Paraiso,Miami,0.98190557,2.0,8.1,"25.80533,-80.1891",3,Bar
Beaker & Gray,Miami,0.970296155,3.0,8.7,"25.80533,-80.1891",3,Bar
All Day,Miami,0.969607012,1.0,9.1,"25.7799583,-80.1955923",0,Café
The Corner,Miami,0.975084818,2.0,8.8,"25.7799583,-80.1955923",0,Bar
Cvi.Che 105,Miami,0.979555414,2.0,9.1,"25.7799583,-80.1955923",0,Restaurant
Jaguar Sun,Miami,0.969730704,3.0,8.3,"25.7799583,-80.1955923",0,Bar
Jamon Iberico Pata Negra,Miami,0.978618886,2.0,9.0,"25.7799583,-80.1955923",0,Restaurant
Pollos Y Jarras,Miami,0.962220809,2.0,8.5,"25.7799583,-80.1955923",0,Restaurant
Seaspice,Miami,0.974395674,4.0,8.6,"25.7799583,-80.1955923",0,Bar
Vero Italian,Miami,0.933241448,4.0,8.3,"25.7799583,-80.1955923",0,Restaurant
Cafe Bastille,Miami,0.969377297,2.0,8.6,"25.7799583,-80.1955923",0,Café
Bunbury,Miami,0.990016257,2.0,8.4,"25.7799583,-80.1955923",0,Bar
The Taco Stand,Miami,0.987507068,1.0,9.0,"25.7984785,-80.2031538",1,Restaurant
Zak the Baker,Miami,0.981693526,2.0,9.1,"25.7984785,-80.2031538",1,Bakery
Doya,Miami,0.975986005,2.0,8.5,"25.7984785,-80.2031538",1,Restaurant
Panther Coffee Wynwood,Miami,0.984467769,1.0,9.0,"25.7984785,-80.2031538",1,Café
Coyo Taco,Miami,0.988531948,2.0,8.9,"25.7984785,-80.2031538",1,Restaurant
Uchi,Miami,0.966125954,2.0,8.6,"25.7984785,-80.2031538",1,Restaurant
Miam Cafe & Boutique,Miami,0.951865988,1.0,8.9,"25.7984785,-80.2031538",1,Café
Gramps,Miami,0.986694232,2.0,8.9,"25.7984785,-80.2031538",1,Bar
Miam Cafe & Boutique,Miami,0.951865988,1.0,8.9,"25.8022384,-80.2014196",0,Café
Zak the Baker,Miami,0.981693526,2.0,9.1,"25.8022384,-80.2014196",0,Bakery
The Taco Stand,Miami,0.987507068,1.0,9.0,"25.8022384,-80.2014196",0,Restaurant
Uchi,Miami,0.966125954,2.0,8.6,"25.8022384,-80.2014196",0,Restaurant
Bakan,Miami,0.985616342,2.0,8.6,"25.8022384,-80.2014196",0,Restaurant
Panther Coffee Wynwood,Miami,0.984467769,1.0,9.0,"25.8022384,-80.2014196",0,Café
Doya,Miami,0.975986005,2.0,8.5,"25.8022384,-80.2014196",0,Restaurant
Coyo Taco,Miami,0.988531948,2.0,8.9,"25.8022384,-80.2014196",0,Restaurant
Zak the Baker,Miami,0.981693526,2.0,9.1,"25.8014206,-80.1991306",0,Bakery
Panther Coffee Wynwood,Miami,0.984467769,1.0,9.0,"25.8014206,-80.1991306",0,Café
Coyo Taco,Miami,0.988531948,2.0,8.9,"25.8014206,-80.1991306",0,Restaurant
Uchi,Miami,0.966125954,2.0,8.6,"25.8014206,-80.1991306",0,Restaurant
Morelia Gourmet Paletas,Miami,0.961160588,1.0,8.4,"25.8014206,-80.1991306",0,Restaurant
The Taco Stand,Miami,0.987507068,1.0,9.0,"25.8014206,-80.1991306",0,Restaurant
Gramps,Miami,0.986694232,2.0,8.9,"25.8014206,-80.1991306",0,Bar
Bakan,Miami,0.985616342,2.0,8.6,"25.8014206,-80.1991306",0,Restaurant
Beaker & Gray,Miami,0.970296155,3.0,8.7,"25.8025414,-80.1948694",7,Bar
Veza Sur Brewing Co,Miami,0.971780464,2.0,9.1,"25.8025414,-80.1948694",7,Bar
Fireman Derek's Bake Shop & Cafe,Miami,0.959587928,2.0,8.2,"25.8025414,-80.1948694",7,Bakery
The Salty Donut,Miami,0.982789087,1.0,9.1,"25.8025414,-80.1948694",7,Café
Morgan's Restaurant,Miami,0.965843229,2.0,8.2,"25.8025414,-80.1948694",7,Restaurant
SuViche,Miami,0.979679107,2.0,8.0,"25.8025414,-80.1948694",7,Restaurant
Mister 01,Miami,0.982364999,1.0,8.7,"25.8025414,-80.1948694",7,Bar
